FACILITY_I,the_geom,FACILITY_N,DEPTNAME,DEPT,SCHOOL_TYP
3273,POINT (-122.41027497651041 37.712525001486085),Visitacion Valley Elementary School,SF Unified School District (SFUSD),7,Elementary
3274,POINT (-122.42318559787536 37.71365111090572),"McLaren, John Early Education School",SF Unified School District (SFUSD),7,Early Education
3275,POINT (-122.43449972503308 37.71013456173432),Excelsior Guadalupe Early Education School,SF Unified School District (SFUSD),7,Early Education
3276,POINT (-122.4471261637636 37.71023481697759),Longfellow Elementary School,SF Unified School District (SFUSD),7,Elementary
3277,POINT (-122.41917118003285 37.75014826756781),"Rodriguez, Zaida T. Early Education School",SF Unified School District (SFUSD),7,Early Education
3278,POINT (-122.43215525135308 37.74954430438769),"Lick, James Middle School",SF Unified School District (SFUSD),7,Middle School
3279,POINT (-122.43143584230388 37.742204099522425),Mission Education Center Elementary School,SF Unified School District (SFUSD),7,Elementary
3280,POINT (-122.42500898855414 37.74045957565772),Fairmount Elementary School,SF Unified School District (SFUSD),7,Elementary
3282,POINT (-122.43578658821498 37.73309656252182),Glen Park Elementary School,SF Unified School District (SFUSD),7,Elementary
3283,POINT (-122.44080036349526 37.722170715515766),Balboa High School,SF Unified School District (SFUSD),7,High School
3284,POINT (-122.44287337450497 37.72153782150691),"Denman, James Middle School",SF Unified School District (SFUSD),7,Middle School
3285,POINT (-122.44485801690139 37.721491333630816),San Miguel Early Education School,SF Unified School District (SFUSD),7,Early Education
3286,POINT (-122.46629406175053 37.716378990476734),"Ortega, Jose Elementary School",SF Unified School District (SFUSD),7,Elementary
3287,POINT (-122.45962941485472 37.71447598671231),Sheridan Elementary School,SF Unified School District (SFUSD),7,Elementary
3293,POINT (-122.48600857412701 37.73005069398274),Lakeshore Elementary School,SF Unified School District (SFUSD),7,Elementary
3294,POINT (-122.4834020074805 37.73062352927178),LOWELL HIGH SCHOOL,SF Unified School District (SFUSD),7,High School
3236,POINT (-122.40939655386458 37.75043248388059),Hilltop Special Services Center,SF Unified School District (SFUSD),7,County School
3116,POINT (-122.43343825560665 37.792805019599825),Gateway Middle School,SF Unified School District (SFUSD),7,Charter School
3134,POINT (-122.44319755748482 37.80321893162568),"Lilienthal, Claire (3-8 Winfield Scott Campus)",SF Unified School District (SFUSD),7,Elementary
3129,POINT (-122.43403688047665 37.774986386073685),"Wells, Ida B. High School",SF Unified School District (SFUSD),7,High School
3144,POINT (-122.4443484813539 37.769733971552235),Chinese Immersion School at DeAvila,SF Unified School District (SFUSD),7,Elementary
3203,POINT (-122.46601819420813 37.72969431136373),APTOS MIDDLE SCHOOL,SF Unified School District (SFUSD),7,Middle School
10186,POINT (-122.48029535111253 37.74655970359109),"Lincoln, Abraham High School",SF Unified School District (SFUSD),7,High School
3533,POINT (-122.49952278493278 37.75059317312519),SUNSET ELEMENTARY SCHOOL,SF Unified School District (SFUSD),7,Elementary
3100,POINT (-122.40321747699812 37.79861099352533),"Chin, John Yehall Elementary School",SF Unified School District (SFUSD),7,Elementary
3105,POINT (-122.40908641441412 37.795045280888736),"Stockton, Commodore Early Education School",SF Unified School District (SFUSD),7,Early Education
3107,POINT (-122.40892507644288 37.79407853742553),"Lau, Gordon J. Elementary School",SF Unified School District (SFUSD),7,Elementary
3110,POINT (-122.42447926890853 37.80374834621129),Galileo High School,SF Unified School District (SFUSD),7,High School
3123,POINT (-122.43001153983712 37.78349340332897),"Parks, Rosa Elementary School",SF Unified School District (SFUSD),7,Elementary
3128,POINT (-122.4228778578723 37.78031379026468),Civic Center Secondary School,SF Unified School District (SFUSD),7,County School
3136,POINT (-122.45806740393736 37.78722555237363),"Lilienthal, Claire (K-2 Madison Campus)",SF Unified School District (SFUSD),7,Elementary
3170,POINT (-122.46971143337846 37.758910483352565),"Yu, Alice Fong Alternative School",SF Unified School District (SFUSD),7,Elementary
3173,POINT (-122.5036589195738 37.75384963263475),Noriega Early Education School,SF Unified School District (SFUSD),7,Early Education
3182,POINT (-122.49989695111569 37.743402257209446),Independence High School,SF Unified School District (SFUSD),7,High School
3189,POINT (-122.45632321534815 37.753757315994235),Clarendon Elementary School,SF Unified School District (SFUSD),7,Elementary
3190,POINT (-122.43645512148417 37.758979676814185),HARVEY MILK CIVIL RIGHTS ACADEMY,SF Unified School District (SFUSD),7,Elementary
3191,POINT (-122.44448962973527 37.757408304108004),Rooftop (5-8 Mayeda Campus),SF Unified School District (SFUSD),7,Elementary
3193,POINT (-122.44391692382607 37.7549952098111),Rooftop (K-4 Burnett Campus),SF Unified School District (SFUSD),7,Elementary
3216,POINT (-122.4125622286712 37.756999357324496),"Moscone, George Elementary School",SF Unified School District (SFUSD),7,Elementary
3217,POINT (-122.42809663617015 37.75527352939763),"Mahler, Theresa S. Early Education School",SF Unified School District (SFUSD),7,Early Education
3220,POINT (-122.41509206763314 37.75489898004304),"Chavez, Cesar Elementary School",SF Unified School District (SFUSD),7,Elementary
3231,POINT (-122.4008049714524 37.76182550083592),International Studies Academy,SF Unified School District (SFUSD),7,High School
3242,POINT (-122.38110191071578 37.73420564522483),Malcolm X Elementary School,SF Unified School District (SFUSD),7,Elementary
3244,POINT (-122.38224144103529 37.73212188420522),Metropolitan Arts and Tech,SF Unified School District (SFUSD),7,Charter School
3254,POINT (-122.41196533192425 37.74773759188416),"Flynn, Leonard Elementary School",SF Unified School District (SFUSD),7,Elementary
3296,POINT (-122.44866679763906 37.74543136436264),"Asawa, Ruth - San Francisco School of the Arts (SOTA)",SF Unified School District (SFUSD),7,High School
10187,POINT (-122.38557041991413 37.73184270954276),"Carver, Dr. George Washington Elementary School",SF Unified School District (SFUSD),7,Elementary
60081,POINT (-122.40218005304878 37.777153188374726),Five Keys Charter,SF Unified School District (SFUSD),7,Charter School
60086,POINT (-122.41995051829832 37.781854504030775),Tenderloin Elementary School,SF Unified School District (SFUSD),7,Elementary
60087,POINT (-122.4142148387995 37.75951718757374),"O'Connell, John High School",SF Unified School District (SFUSD),7,High School
60127,POINT (-122.44948465562666 37.74515847684934),Academy of Arts and Sciences,SF Unified School District (SFUSD),7,High School
60128,POINT (-122.40863966358685 37.75524584125747),S. F. International High School,SF Unified School District (SFUSD),7,High School
60129,POINT (-122.40678677845632 37.77657340971875),"Carmichael, Bessie Early Education School",SF Unified School District (SFUSD),7,Early Education
60130,POINT (-122.41508304389957 37.75476252521436),"Chavez, Cesar Preschool",SF Unified School District (SFUSD),7,Early Education
60131,POINT (-122.43915377416683 37.78799211655379),"Cobb, Dr. William Preschool",SF Unified School District (SFUSD),7,Early Education
60132,POINT (-122.3938801610105 37.731767600882975),"Drew, Dr. Charles Early Education School",SF Unified School District (SFUSD),7,Early Education
60133,POINT (-122.43049899573296 37.76316767375339),Sanchez Preschool,SF Unified School District (SFUSD),7,Early Education
60135,POINT (-122.41194677167343 37.74804342374292),"Flynn, Leonard Early Education School",SF Unified School District (SFUSD),7,Early Education
60136,POINT (-122.40679714221521 37.801902063755804),Garfield Early Education School,SF Unified School District (SFUSD),7,Early Education
60137,POINT (-122.4503970544728 37.763498112537874),Grattan Early Education School,SF Unified School District (SFUSD),7,Early Education
60138,POINT (-122.43411655373566 37.710314627867085),Guadalupe Elementary School,SF Unified School District (SFUSD),7,Elementary
60139,POINT (-122.38980366877902 37.71819686360569),"Harte, Bret Early Education School",SF Unified School District (SFUSD),7,Early Education
60140,POINT (-122.50227342567283 37.7578347893406),"Key, Francis Scott Early Education School",SF Unified School District (SFUSD),7,Early Education
60141,POINT (-122.40735999833736 37.7274128375933),"Taylor, E.R. Preschool",SF Unified School District (SFUSD),7,Early Education
60142,POINT (-122.41324751646933 37.75712245944677),Las Americas Early Education School,SF Unified School District (SFUSD),7,Early Education
60143,POINT (-122.4085895963749 37.79415329008643),"Lau, Gordon J. Preschool",SF Unified School District (SFUSD),7,Early Education
60144,POINT (-122.46423818581991 37.776441771935815),"McCoppin, Frank Early Education School",SF Unified School District (SFUSD),7,Early Education
60145,POINT (-122.43028941722041 37.725512566642664),Monroe Elementary School,SF Unified School District (SFUSD),7,Elementary
60146,POINT (-122.42877414027325 37.77360964657296),"Muir, John Preschool",SF Unified School District (SFUSD),7,Early Education
60147,POINT (-122.41120119912264 37.79751749227942),"Parker, Jean Early Education School",SF Unified School District (SFUSD),7,Early Education
60148,POINT (-122.41939595036968 37.78949141616694),Redding Early Education School,SF Unified School District (SFUSD),7,Early Education
60150,POINT (-122.43363582742393 37.792775532800995),S. F. Montessori Early Education School,SF Unified School District (SFUSD),7,Early Education
60151,POINT (-122.43393496954397 37.79273570742186),S. F. Public Montessori Elementary School,SF Unified School District (SFUSD),7,Elementary
60152,POINT (-122.42151153740001 37.73684052878968),"Serra, Junipero Early Education School (1)",SF Unified School District (SFUSD),7,Early Education
60153,POINT (-122.42259917013139 37.73845825777568),"Serra, Junipero Early Education School (2)",SF Unified School District (SFUSD),7,Early Education
60155,POINT (-122.41887325621906 37.79390117049585),Spring Valley Early Education School,SF Unified School District (SFUSD),7,Early Education
60156,POINT (-122.39915492378073 37.75304289528874),Starr King Preschool,SF Unified School District (SFUSD),7,Early Education
60157,POINT (-122.47140120581386 37.783481295609334),Sutro Early Education School,SF Unified School District (SFUSD),7,Early Education
60158,POINT (-122.42001362736552 37.781717357469745),Tenderloin Early Education School,SF Unified School District (SFUSD),7,Early Education
60159,POINT (-122.3959765917179 37.76039379084227),"Webster, Daniel Early Education School",SF Unified School District (SFUSD),7,Early Education
60160,POINT (-122.42977293647124 37.78328258752667),"Weill, Raphael Early Education School",SF Unified School District (SFUSD),7,Early Education
60161,POINT (-122.4525051333142 37.74592654079449),Woodside Learning Center,SF Unified School District (SFUSD),7,County School
60163,POINT (-122.3962022207709 37.7624788239177),Jefferson Out Of School (OST) Program,SF Unified School District (SFUSD),7,Elementary
60164,POINT (-122.39636283554218 37.719342809692456),KIPP Bayview Academy,SF Unified School District (SFUSD),7,Charter School
60165,POINT (-122.43746647931594 37.782998548834215),KIPP SF Bay Academy,SF Unified School District (SFUSD),7,Charter School
60166,POINT (-122.4192013435692 37.78802326027097),Larkin Street Youth Services,SF Unified School District (SFUSD),7,County School
60167,POINT (-122.44326237028069 37.72143884789802),Leadership Charter High School,SF Unified School District (SFUSD),7,Charter School
60168,POINT (-122.36792911279943 37.825297858396084),Life Learning Academy Charter School,SF Unified School District (SFUSD),7,Charter School
60169,POINT (-122.46093330617384 37.79781654928736),Presidio Early Education School,SF Unified School District (SFUSD),7,Early Education
60170,POINT (-122.4251075729157 37.71888586559671),City Arts and Tech High School,SF Unified School District (SFUSD),7,Charter School
