,business_id,name,address,city,state,postal_code,latitude,longitude
1263,4777,SOUTH BEACH CAFE,800 EMBARCADERO ST ,San Francisco,CA,94107,37.781556,-122.388484
1264,4780,BRAINWASH CAFE,1122 FOLSOM ST ,San Francisco,CA,94103,37.776254,-122.408529
1265,4782,CANTON DIM SUM HOUSE,655 FOLSOM ST 1/F,San Francisco,CA,94107,37.784557,-122.397932
1266,4787,TONY BALONEY'S,1098 HOWARD ST ,San Francisco,CA,94103,37.778033,-122.40943
1267,4789,WHITCOMB  HOTEL- EMPLOYEES / BSMT CAFETERIA,1231 MARKET ST ,San Francisco,CA,94103,37.778357,-122.415182
1268,4791,SOUTH PARK CAFE,108 SOUTH PARK ST ,San Francisco,CA,94107,37.781564,-122.394369
1269,4794,VICTOR'S,210 TOWNSEND ST ,San Francisco,CA,94107,37.778634,-122.393089
1270,4797,"GOOD LIFE GROCERY, THE",448 CORTLAND AVE ,San Francisco,CA,94110,37.739053,-122.416683
1271,4798,M & M SHORTSTOP,2145 GENEVA AVE ,San Francisco,CA,94134,37.708427,-122.420353
1272,4800,NEW COLLEGE HILL MARKET,3798 MISSION ST ,San Francisco,CA,94110,37.736021,-122.424503
1273,4801,YICK'S LIQUOR,4701 MISSION ST ,San Francisco,CA,94112,37.72304,-122.436017
1274,4803,SAN BRUNO SUPERMARKET,2480 SAN BRUNO AVE ,San Francisco,CA,94134,37.730527,-122.404861
1275,4804,SUBWAY #31419,2599 SAN BRUNO AVE ,San Francisco,CA,94134,37.728933,-122.40413
1276,4806,WHITE PALACE LIQUOR & DELI,1524 SILVER AVE ,San Francisco,CA,94134,37.732344,-122.405852
1277,4817,BIG SAVE MARKET,5001 03RD ST ,San Francisco,CA,94124,37.733019,-122.391239
1278,4819,STARBUCKS COFFEE,398 MARKET ST ,San Francisco,CA,94111,37.791742,-122.398373
1279,4824,THE GAP CAFE,1 HARRISON ST ,San Francisco,CA,94105,37.789177,-122.388962
1280,4828,SAY CHEESE,856 COLE ST ,San Francisco,CA,94117,37.766017,-122.449976
1281,4837,SAFEWAY STORE #985,2350 NORIEGA ST ,San Francisco,CA,94122,37.753718,-122.488821
1282,4841,STARBUCKS COFFEE,350 PARNASSUS AVE ,San Francisco,CA,94117,37.764027,-122.456159
1283,4842,GEORGE'S ZOO,2560 SLOAT BLVD ,San Francisco,CA,94116,37.735488,-122.501599
1284,4843,SUNNY COUNTRY FOODS,1101 STANYAN ST ,San Francisco,CA,94117,37.764384,-122.452584
1285,4844,SAFEWAY #909,730 TARAVAL,San Francisco,CA,94116,37.743191,-122.473903
1286,4846,NORTH BEACH PIZZA,3054 TARAVAL ST ,San Francisco,CA,94116,37.742048,-122.499002
1287,4849,FAMILY MARKET,198 BROAD ST ,San Francisco,CA,94112,37.713219,-122.458851
1288,4850,COOL GUYS,845 HOLLOWAY AVE ,San Francisco,CA,94112,37.721794,-122.461991
1289,4859,7-ELEVEN STORE 2230-23342E,3080 SAN JOSE AVE ,San Francisco,CA,94112,37.709683,-122.457571
1290,4860,PLAY FIELD CAFE,1 ZOO RD ,San Francisco,CA,94132,37.73017,-122.502535
1291,4864,DRAGON CITY BAKERY & CAFE,2367 MISSION ST ,San Francisco,CA,94110,37.759174,-122.419066
1292,4868,NABILA'S HAYES VALLEY HEALTH FOOD,559 HAYES ST ,San Francisco,CA,94102,37.776524,-122.425607
1293,4873,MEREB MARKET,698 GUERRERO ST ,San Francisco,CA,94110,37.760097,-122.423674
1294,4874,JUMP START COFFEE & GROCERY,1192 GUERRERO ST,San Francisco,CA,94110,37.752118,-122.422914
1295,4881,STOP N SHOP,3000 MISSION ST ,San Francisco,CA,94110,37.748924,-122.418144
1296,4884,LUCCA RAVIOLI CO,1100 VALENCIA ST,San Francisco,CA,94110,37.755177,-122.420995
1297,4892,NIMERS MARKET,1601 FULTON ST ,San Francisco,CA,94117,37.776174,-122.443297
1298,4893,S & W MARKET,399 HAIGHT ST ,San Francisco,CA,94102,37.772323,-122.428627
1299,4894,SUNRISE MARKET,688 HAIGHT ST ,San Francisco,CA,94117,37.771748,-122.433493
1300,4896,BEN & JERRY'S HAIGHT-ASHBURY,1480 HAIGHT ST,San Francisco,CA,94117,37.770068,-122.446644
1301,4900,HOME SERVICE MARKET,1700 HAYES ST ,San Francisco,CA,94117,37.774148,-122.444633
1302,4905,SUPER SAM FOOD,691 MCALLISTER ST ,San Francisco,CA,94102,37.779639,-122.423352
1303,4906,NEW STAR MARKET,269 14TH ST ,San Francisco,CA,94103,37.768274,-122.419299
1304,4907,JIM GEORGIE'S DONUT,2799 16TH ST ,San Francisco,CA,94103,37.765262,-122.41523
1305,4914,LA PALMA,2884 24TH ST ,San Francisco,CA,94110,37.752798,-122.409922
1306,4917,LA VICTORIA BAKERY,2937 24TH ST ,San Francisco,CA,94110,37.752373,-122.410876
1307,4920,A B C MARKET,2801 BRYANT ST ,San Francisco,CA,94110,37.749612,-122.408789
1308,4922,EL FARO,2399 FOLSOM ST ,San Francisco,CA,94110,37.759054,-122.414656
1309,4923,TED'S MARKET,1530 HOWARD ST ,San Francisco,CA,94103,37.772723,-122.41608
1310,4932,GOOD LUCK MARKET & DELI,621 KEARNY ST ,San Francisco,CA,94108,37.793882,-122.404704
1311,4935,LEBEAU'S NOB HILL MARKET,1263 LEAVENWORTH ST ,San Francisco,CA,94109,37.792854,-122.416114
1312,4944,FRENCH BAKERY,1101 TARAVAL ST ,San Francisco,CA,94116,37.742914,-122.478149
1313,4947,AVENUE FINE FOODS,1837 PACIFIC AVE ,San Francisco,CA,94109,37.794494,-122.425527
1314,4952,CHEVRON STATIONS INC. #1727,2998 SAN JOSE AVE ,San Francisco,CA,94112,37.711558,-122.45561
1315,4953,K & D MARKET,3177 16TH ST ,San Francisco,CA,94103,37.764784,-122.423649
1316,4957,SAFEWAY STORES INC #711,15 MARINA BL  ,San Francisco,CA,94123,37.805073,-122.433106
1317,4959,THAT'S IT MARKET,2699 MISSION ST,San Francisco,CA,94110,37.753973,-122.418576
1318,4960,THREE STAR RESTAURANT,2515 NORIEGA ST ,San Francisco,CA,94122,37.753583,-122.490839
1319,4963,CAL MART SUPERMARKET,3585 CALIFORNIA ST ,San Francisco,CA,94118,37.786453,-122.452807
1320,4978,ANGEL'S MARKET,1649 CASTRO ST,San Francisco,CA,94114,37.748214,-122.433746
1321,4982,FRANKLIN MARKET,1528 FRANKLIN ST ,San Francisco,CA,94109,37.788658,-122.423627
1322,4983,YOUNG ELLIS PRODUCE,398 ELLIS ST ,San Francisco,CA,94102,37.784961,-122.412761
