,Unnamed: 0,tractid,latitude,longitude,rest_score,rest_proximity
56,56,6075016600,37.7704942,-122.4474539,89.985478971,15.8298064241
57,57,6075016700,37.7703481,-122.4377358,90.2154412882,22.8405360503
58,58,6075016801,37.7713294,-122.4290086,90.3663528268,33.7019465711
59,59,6075016802,37.7735403,-122.4249293,90.4186630516,40.9540477277
60,60,6075016900,37.7670961,-122.4324782,90.3586082253,27.380406158
61,61,6075017000,37.7648874,-122.4394975,90.2422056237,18.8273194147
62,62,6075017101,37.7657245,-122.4460837,90.0527612712,14.4306298597
63,63,6075017102,37.7654353,-122.4504754,89.9005205532,12.5803799387
64,64,6075017601,37.7794338,-122.4107241,90.7014496243,82.8912487871
65,65,6075017700,37.7680392,-122.4124868,90.7667939574,44.2010272043
66,66,6075017801,37.7820284,-122.4011589,90.9605913278,88.1070441613
67,67,6075017802,37.7760649,-122.4087033,90.7859907132,73.6477363791
68,68,6075017902,37.8619483,-122.419701,90.6152388145,0.0
69,69,6075018000,37.7753304,-122.4022764,90.9834081874,68.1475941833
70,70,6075020100,37.7686074,-122.4200011,90.5821233645,40.4517164606
71,71,6075020200,37.7671163,-122.4241789,90.5162941135,35.5097826274
72,72,6075020300,37.7649411,-122.4294368,90.4486644577,29.3393528028
73,73,6075020401,37.7595166,-122.4434836,90.1961037635,12.9642335287
74,74,6075020402,37.7528357,-122.4444148,90.248345799,9.36870824284
75,75,6075020500,37.7591285,-122.4370296,90.3853656847,18.4754889748
76,76,6075020600,37.7595628,-122.4303496,90.5223999281,25.195877747
77,77,6075020700,37.759168,-122.4235588,90.6593300107,29.5192127163
78,78,6075020800,37.7594331,-122.4191487,90.7412849691,30.7170850812
79,79,6075020900,37.7518186,-122.4184125,90.8970192184,24.8052605956
80,80,6075021000,37.7515789,-122.422849,90.8195416399,24.2119066773
81,81,6075021100,37.75397,-122.4298144,90.6391660325,22.1936877601
82,82,6075021200,37.7531762,-122.4381261,90.456405835,14.4118038543
83,83,6075021300,37.7492646,-122.4384676,90.5148833688,12.0954546213
84,84,6075021400,37.7495758,-122.4294049,90.7352264737,19.4684341292
