tract_id,hispanic,white,black,american_indian,asian,pac_islander,other_races,two_races
6075047802,3.5,30.1,3.1,0.0,61.5,0.0,0.0,1.9
6075047901,6.7,37.8,4.7,0.3,43.7,0.3,0.0,6.6
6075047902,4.8,45.9,0.5,0.0,43.1,0.0,3.4,2.3
6075060100,2.5,77.9,4.3,1.8,7.2,0.0,0.3,6.1
6075060400,13.3,46.2,6.5,0.0,30.0,0.0,0.4,3.6
6075060502,21.9,4.8,36.1,5.5,29.0,1.4,0.0,1.3
6075060700,10.9,42.5,3.1,0.0,40.9,0.0,0.3,2.2
6075061000,13.8,12.9,21.8,0.0,45.2,4.5,0.0,1.8
6075061100,1.0,5.5,0.8,0.0,91.7,0.7,0.0,0.2
6075061200,41.1,5.1,26.0,0.0,26.9,0.0,0.0,0.8
6075061400,20.7,41.2,17.0,3.2,11.4,2.9,0.0,3.4
6075061500,7.3,54.7,5.6,0.7,28.4,0.5,0.0,2.7
6075980200,33.8,47.2,9.4,0.0,6.7,0.0,0.0,3.0
6075980300,0.0,0.0,0.0,0.0,30.0,0.0,0.0,70.0
6075980401,-,-,-,-,-,-,-,-
6075980501,38.9,8.6,8.1,0.0,35.8,0.0,0.0,8.6
6075980600,0.0,15.4,71.5,0.0,3.3,0.0,0.0,9.8
6075980900,7.5,53.9,14.8,0.0,23.8,0.0,0.0,0.0
6075990100,-,-,-,-,-,-,-,-
