tract,hh_type1_h,hh_type1_t
6001451703,30.56101,16.22377
6001451704,32.59083,15.43624
6001981900,27.20806,11.53152
6001982000,34.03953,14.73918
6001983200,26.91933,10.98229
6013301000,27.52514,17.37798
6013302005,28.45763,16.09056
6013302006,29.11634,17.477
6013302007,28.66859,16.56675
6013302008,26.80579,16.91198
6013302009,29.69788,16.63071
6013302010,30.5286,17.06835
6013303102,29.76301,16.45313
6013303103,26.77474,16.32582
6013303201,30.47646,16.92677
6013303202,32.83123,16.9615
6013303203,30.62656,16.96023
6013303204,28.27835,15.72303
6013303205,29.1746,17.23539
6013304001,32.52895,18.05159
6013304002,28.78858,17.28304
6013304003,32.60263,17.73748
6013304004,30.80013,17.24715
6013304005,28.92858,18.08438
6013305000,24.10027,13.10942
6013306002,30.25512,17.13344
6013306003,29.97969,15.07942
6013306004,25.72754,14.86544
6013307101,30.52714,15.92081
6013307102,26.57287,14.44522
6013307201,24.88371,14.03031
6013307202,24.22994,11.80362
6013307204,29.90071,15.77405
6013307205,28.03154,14.08869
6013308001,29.23261,16.04367
6013308002,31.63473,17.58204
6013309000,28.34197,15.77654
6013310000,28.18443,14.76672
6013311000,27.56703,14.88996
6013312000,28.6566,14.17273
6013313101,27.69245,14.06836
6013313102,28.59096,15.20719
6013313103,28.38053,15.96263
6013313203,29.3022,16.94951
6013313204,28.81245,15.84218
6013313205,31.00478,17.37339
6013313206,28.3782,14.83719
6013314102,29.65026,15.61987
6013314103,27.47402,14.98941
6013314104,27.81494,14.3785
6013314200,29.07913,15.88361
6013315000,28.78908,16.94262
6013316000,27.44074,12.35285
6013317000,28.50519,13.66435
6013318000,28.63428,14.06145
6013319000,27.48969,13.96803
6013320001,26.50361,15.52809
6013320003,32.52915,15.39481
6013320004,30.52259,14.3942
6013321101,31.5044,15.07771
6013321102,32.65064,15.34108
6013321103,29.50222,15.42368
6013321200,28.2412,13.23363
6013322000,30.79276,14.50697
6013323000,30.99379,14.832
6013324001,28.08247,10.79175
6013324002,27.13803,11.96033
6013325000,29.97429,14.54694
6013326000,30.44004,15.37079
6013327000,31.43871,13.89352
6013328000,20.1718,10.4351
6013329000,28.69315,14.41496
6013330000,28.67654,14.90071
6013331000,28.71956,14.09454
6013332000,29.71555,15.01058
6013333101,30.70061,15.27242
6013333102,30.58282,14.77305
6013333200,30.81567,15.36343
6013334001,27.99122,13.96956
6013334004,29.7369,13.77781
6013334006,31.14648,15.48745
6013334200,30.61984,15.179
6013335000,30.39591,14.84222
6013336101,24.43956,11.32225
6013336102,24.17497,10.71918
6013336201,30.86507,14.3222
6013336202,22.91693,11.37367
6013337100,32.24225,15.61219
6013337200,31.25557,13.84454
6013337300,33.72847,15.33544
6013338101,30.81735,13.38584
6013338102,32.87338,15.29531
6013338201,33.86655,15.37025
6013338203,29.98274,12.13588
6013338204,34.39323,13.35868
6013338301,35.07748,16.04362
6013338302,33.39764,15.99254
6013339001,24.95977,10.41438
6013339002,28.62381,11.43824
6013340001,30.47161,13.46632
6013340002,31.55731,15.09728
6013341000,30.22622,14.5292
6013343001,32.09661,13.16291
6013343002,32.16902,14.24443
6013343003,31.7858,16.12577
6013345101,30.57662,15.00046
6013345102,31.65901,15.90628
6013345103,30.89779,15.52725
6013345105,34.26226,15.46002
6013345108,32.85243,14.9911
6013345111,32.14051,13.67977
6013345112,28.29224,14.85612
6013345113,39.13635,16.94664
6013345114,36.18703,15.85267
6013345115,33.09211,16.48907
6013345116,34.35324,15.46008
6013345202,29.17944,14.03637
6013345203,30.93549,15.91677
6013345204,46.13874,17.29888
6013346101,33.27948,16.45358
6013346102,38.85799,17.70374
6013346201,35.56085,17.02424
6013346203,35.52012,16.36018
6013346204,42.8214,17.17189
6013347000,36.74613,16.53101
6013348000,33.67508,16.99154
6013349000,30.18411,14.47952
6013350000,32.17218,14.50993
6013351101,33.06738,14.50112
6013351102,33.54675,14.08833
6013351103,35.14458,14.89082
6013351200,39.73415,16.72329
6013352101,36.63141,16.80132
6013352102,35.19173,16.64395
6013352201,31.56394,15.72619
6013352202,30.33219,16.11364
6013353001,33.53339,16.91542
6013353002,40.23809,16.80714
6013354001,31.1904,17.15547
6013354002,34.21322,16.8574
6013355107,31.93841,17.68542
6013355108,31.04471,17.09032
6013355109,32.43798,16.66911
6013355110,31.0303,16.82245
6013355111,32.61906,16.65345
6013355112,40.90982,18.14296
6013355113,39.10642,17.27305
6013355114,36.24147,16.55713
6013355115,29.61088,13.13678
6013355116,42.35635,17.25668
6013355117,49.34743,17.20652
6013355200,27.68838,16.14671
6013355301,31.41646,16.17727
6013355302,34.81164,16.62778
6013355304,30.52396,16.31809
6013355306,31.70692,16.76968
6013356001,29.81385,16.36503
6013356002,30.47026,16.54335
6013357000,27.72407,15.69922
6013358000,25.82199,14.83419
6013359102,28.8483,14.81535
6013359103,28.52864,14.8342
6013359104,29.60122,13.64138
6013359105,30.61759,15.46553
6013359202,30.77058,16.54192
6013359203,28.66038,15.67695
6013359204,31.0422,16.36683
6013360101,30.22111,16.22512
6013360102,32.85582,16.99547
6013360200,28.30743,14.77963
6013361000,28.90733,15.26336
6013362000,29.03874,15.46025
6013363000,30.31724,14.72218
6013364002,30.15233,15.04972
6013365002,23.89545,13.77259
6013365003,28.1296,12.25977
6013366001,28.15963,14.46998
6013366002,27.40172,13.4107
6013367100,25.76964,13.76433
6013367200,27.63973,13.62496
6013368001,25.55969,13.43453
6013368002,28.62746,12.90322
6013369001,24.75779,11.98792
6013369002,27.29567,14.21465
6013370000,29.30682,14.47074
6013371000,28.69923,13.75659
6013372000,28.20219,13.86824
6013373000,24.26136,13.27383
6013374000,26.91938,13.08261
6013375000,25.78237,12.47835
6013376000,24.39731,12.72181
6013377000,24.31912,12.39731
6013378000,27.43245,14.84477
6013379000,25.27227,12.78492
6013380000,25.36763,13.27514
6013381000,26.11914,13.45019
6013382000,27.60357,12.91106
6013383000,28.28496,13.37913
6013384000,30.33524,15.27564
6013385100,31.2631,16.08954
6013385200,33.08197,15.54959
6013386000,24.91725,12.16625
6013387000,29.17845,13.61479
6013388000,25.98358,13.25485
6013389100,24.64857,13.27564
6013389200,24.31012,10.58963
6013390100,31.93538,15.36067
6013390200,29.30391,15.04884
6013391000,33.03685,15.5927
6013392000,29.37142,15.53138
6013392200,29.31776,15.52253
6041101100,30.8621,18.19704
6041101200,28.66698,16.84535
6041102100,30.72947,17.47266
6041102202,28.99198,16.03688
6041102203,28.48781,14.00966
6041103100,30.57506,17.51003
6041103200,33.53839,15.34062
6041104101,30.46604,16.07218
6041104102,29.11065,13.79703
6041104200,28.09734,15.80947
6041104300,30.43691,17.85708
6041105000,28.97344,15.13187
6041106001,25.34416,13.45454
6041106002,27.50356,15.38226
6041107000,31.15661,16.78384
6041108100,32.00002,16.15703
6041108200,28.57863,13.91672
6041109001,29.63378,13.27456
6041109002,30.72148,14.32232
6041110100,31.33379,14.02398
6041110200,32.33955,16.93616
6041111000,29.08941,12.32347
6041112100,30.80729,13.93246
6041112201,30.38795,10.45363
6041112202,28.8944,12.84884
6041113000,25.75586,17.05223
6041114100,26.39114,15.47251
6041114200,25.27702,15.06122
6041115000,30.44887,16.47586
6041116000,27.13623,14.9979
6041117000,29.07474,14.15603
6041118100,33.37308,16.95815
6041119100,39.60905,15.48719
6041119201,25.29837,11.63507
6041119202,34.56111,15.92803
6041120000,29.81857,14.37564
6041121100,31.7495,14.43795
6041121200,30.18779,14.34176
6041123000,32.33287,15.34544
6041124100,28.93239,14.91173
6041124200,30.11544,15.10652
6041125000,27.64978,13.56985
6041126100,29.92549,15.17929
6041126200,27.97409,13.80361
6041127000,32.99143,15.4943
6041128100,29.28142,15.90604
6041128200,32.37071,15.79602
6041129000,25.78822,12.45805
6041130201,33.00757,13.49296
6041130202,27.44205,13.19222
6041131100,30.58291,16.67943
6041132100,23.32436,17.03889
6041132200,26.70359,17.86135
6041133000,27.19645,17.60377
6075010100,31.94666,8.74157
6075010200,34.50678,9.07783
6075010300,36.98725,8.89138
6075010400,36.54766,8.65914
6075010500,37.26268,9.37447
6075010600,35.13767,7.47226
6075010700,22.19435,6.90087
6075010800,35.59853,7.9468
