,tractid,pct_bachelors,poverty_rate,labor_part_rate,pct_unemploy,pct_welfare,low_pov_idx,labor_idx,env_health_idx,trans_cost_idx,trips_idx,latitude,longitude,hispanic,white,black,american_indian,asian,pac_islander,other_races,two_races,housing_cost,transportation_cost,pub_school_score,pr_school_score,rest_score,rest_proximity
76,6075020600,0.790212959,0.055129241,0.831693162,0.066726244,0,72,96,9,98,96,37.7595628,-122.4303496,10.8,78.7,2,0.4,5.3,0,0.3,2.4,33.39044,10.25646,0.153392164,0.193052927,90.52239993,25.19587775
77,6075020700,0.661770466,0.107167236,0.884932697,0.031603774,0.040414508,48,98,7,99,97,37.759168,-122.4235588,18.5,65.4,1.2,0,9.8,0,0,5.1,35.60412,9.22972,0.153409835,0.193085654,90.65933001,29.51921272
78,6075020800,0.384939538,0.170262733,0.881316999,0.062448644,0.016,28,81,6,99,97,37.7594331,-122.4191487,55.7,30.9,2.3,0.2,9,0,0.5,1.5,31.88209,9.02254,0.15342003,0.193106152,90.74128497,30.71708508
79,6075020900,0.495847176,0.101635992,0.810897436,0.027406199,0.036286019,50,87,6,99,96,37.7518186,-122.4184125,48.8,37.6,0.3,0.1,11.7,0,0.2,1.2,26.37404,9.31877,0.153440556,0.193120685,90.89701922,24.8052606
80,6075021000,0.751158354,0.077570922,0.861093652,0.011732229,0.023154848,61,99,10,99,97,37.7515789,-122.422849,17.2,64.7,0.4,0,15.6,0,0.2,1.9,34.25983,9.46186,0.153430233,0.193100023,90.81954164,24.21190668
81,6075021100,0.812762385,0.054278265,0.895266272,0.042478441,0.008248423,73,99,9,98,96,37.75397,-122.4298144,11.6,76.7,1.3,0,7.2,0,0,3.2,33.88185,10.78859,0.153407226,0.193063573,90.63916603,22.19368776
82,6075021200,0.81370826,0.045874822,0.847165992,0.071077091,0.007936508,78,97,10,98,95,37.7531762,-122.4381261,4.9,86.5,0.7,0,5,0,0,2.8,35.56502,11.11666,0.153388739,0.193025372,90.45640584,14.41180385
83,6075021300,0.732635585,0.021857924,0.908593322,0.053683609,0.022780833,91,98,9,97,95,37.7492646,-122.4384676,5.8,82,0,0.3,7.9,0,0.4,3.7,32.44687,11.2618,0.153397514,0.193029427,90.51488337,12.09545462
84,6075021400,0.780093424,0.053231939,0.962070328,0.055274426,0.013302487,73,99,8,98,96,37.7495758,-122.4294049,8.2,73.6,0.8,0,9.4,0,0,8,33.31069,10.39426,0.153419034,0.193071885,90.73522647,19.46843413
85,6075021500,0.682198327,0.018220176,0.938438438,0.054143366,0.018174308,93,98,11,98,96,37.7450512,-122.426705,21.2,64.3,2,0,11.1,0,0,1.4,31.9774,10.37479,0.153436796,0.193091231,90.87915215,17.76767298
86,6075021600,0.656779661,0.039321701,0.850649351,0.055263158,0,81,94,17,97,95,37.7454964,-122.4381417,14.2,55.3,12.2,0,15,1,0.5,1.8,29.46045,11.27261,0.153407578,0.193036433,90.59232459,10.58712252
87,6075021700,0.671949287,0.069018016,0.853946813,0.065795023,0.018125324,65,94,18,96,93,37.740278,-122.4392706,13,58.3,4.9,1.4,18.2,0,0,4.2,30.5496,12.06755,0.153417632,0.193038653,90.64654382,8.299694102
88,6075021800,0.667241875,0.085175704,0.847231716,0.065784894,0.037705789,57,93,11,97,95,37.737952,-122.4290987,13.4,72.4,0.3,0,9.8,0,0.4,3.6,31.586,11.33412,0.153448363,0.19309019,90.96029937,11.91856752
89,6075022600,0.830795262,0.007047768,0.906057946,0.049486461,0.019390582,97,99,3,96,88,37.762479,-122.3835595,5.4,61.2,6.3,3.3,21.2,0,0.9,1.8,33.28507,11.5365,0.153500113,0.19327031,91.77192243,8.255299272
90,6075022702,0.833523375,0.042947559,0.928703135,0.064070352,0,79,99,6,98,95,37.7625436,-122.3956056,12.4,70.3,0,0,12.4,0,0,4.9,35.58834,10.30817,0.153470307,0.193213146,91.3331354,17.91378617
91,6075022704,0.764511389,0.049390635,0.900166389,0.050128535,0,76,99,3,98,94,37.7609519,-122.4019893,5.2,78.8,0.5,0,11.2,0,0.8,3.5,29.34212,10.46016,0.153458511,0.193185217,91.14752308,22.44575856
92,6075022801,0.489066831,0.132731675,0.871949382,0.033514493,0.011550152,39,92,7,98,95,37.7607261,-122.4125093,39.8,45.2,3,0,8.8,0,0.8,2.5,30.74603,10.09446,0.153433184,0.193135718,90.86649013,30.18794007
93,6075022802,0.391353811,0.03348554,0.744925575,0.034195163,0,85,67,1,98,93,37.7589152,-122.4062322,35.8,37.8,1.6,0.8,22.5,0,0,1.5,27.97582,10.73856,0.153453077,0.193168076,91.05299388,23.87102455
94,6075022803,0.367063492,0.058208955,0.9049511,0.057116954,0.00462657,71,84,6,99,96,37.7558368,-122.4120842,57.3,27,0.5,0,13.3,0,0,1.9,33.16736,9.67023,0.153446246,0.193144826,90.95473657,25.57389001
95,6075022901,0.453057133,0.102476097,0.875,0.119580925,0.02037948,50,70,7,99,96,37.7511975,-122.4139453,46.8,31.9,5.9,0,14.5,0,0,0.9,29.13707,9.83479,0.153453071,0.193142743,90.99606823,23.06443774
96,6075022902,0.213060321,0.117370892,0.861902203,0.096335697,0.014705882,44,50,6,98,96,37.7513411,-122.4103784,67.2,17.5,4.2,0,9.5,0,0,1.6,30.00631,10.33261,0.153461493,0.193159428,91.0690781,21.25584468
97,6075022903,0.430653503,0.072388516,0.824324324,0.070464768,0,63,74,1,98,95,37.7517621,-122.4062364,48.8,31.9,1.7,0,14.1,0,0,3.5,27.28341,10.39149,0.153470648,0.193178437,91.15897913,18.59793343
98,6075023001,0.125392745,0.222511628,0.834304443,0.121527778,0.038863976,18,29,3,96,94,37.7351925,-122.4017602,22.5,6.2,21.5,1.2,47.5,0,0,1.2,27.84956,11.62538,0.153522396,0.193223683,91.47651966,8.000736049
99,6075023003,0.215686275,0.072463768,0.840401277,0.103077675,0.026435734,63,44,6,95,94,37.7326723,-122.3958269,14.3,7.7,31.4,0,44.4,0,0,2.1,30.31704,11.89487,0.153543193,0.193255451,91.61311441,5.750546561
100,6075023102,0.172176309,0.140436531,0.83972912,0.164142944,0.132996633,36,23,8,97,95,37.734492,-122.3844982,19.1,2.6,64.9,0,11.3,1.1,0,1,25.55105,11.3531,0.153566599,0.193306493,91.88401827,3.327678064
101,6075023103,0.145420792,0.489984592,0.674763033,0.33640553,0.106283941,1,1,8,95,92,37.7356318,-122.3759653,9.1,7.8,64.9,0.8,4.3,8.7,0,4.2,19.08369,11.82686,0.1535848,0.193345279,92.14004584,1.581299766
102,6075023200,0.142857143,0.140068104,0.717701342,0.134852802,0.00764526,36,14,7,95,94,37.7277547,-122.3861386,38.7,4.8,44.1,0,11.6,0,0,0.8,27.61674,12.21136,0.153579128,0.193308496,91.82321845,3.325359919
103,6075023300,0.138320775,0.103690037,0.803163445,0.091916558,0.104065041,49,33,5,94,91,37.7254139,-122.3977689,17.6,3.7,17.2,0,59.9,0,0,1.7,29.01913,12.84838,0.153556263,0.193256779,91.60118836,4.863360818
104,6075023400,0.097316962,0.326775021,0.713186813,0.102891728,0.055944056,7,16,6,94,90,37.7215929,-122.3900882,54.9,6.9,18.8,0,15.8,1.3,0.8,1.5,27.51281,12.4344,0.153584562,0.193298719,91.72581325,3.31763195
105,6075025100,0.688218961,0.063236206,0.879435851,0.062437562,0.01911315,68,96,1,97,94,37.7439369,-122.4076735,8.5,70.7,3.1,0,12.6,0,0.6,4.6,29.47956,10.96719,0.153486348,0.193182983,91.24845184,14.88238869
106,6075025200,0.571027082,0.035074627,0.879145587,0.032469382,0.037494067,84,96,8,98,95,37.7437089,-122.4142164,26.6,52.3,6,0.3,11.9,0.4,0.8,1.8,28.79228,10.94357,0.153470813,0.193152322,91.12683492,17.36145908
107,6075025300,0.504203889,0.049408345,0.89,0.087760493,0.04528096,76,85,10,98,96,37.7437059,-122.4201527,37.3,47.6,5.1,0.1,7.4,0.3,0,2.1,28.33377,10.47685,0.153456218,0.193124211,91.02322988,18.24445761
108,6075025401,0.472421203,0.14422579,0.890516577,0.100436681,0.014285714,35,79,9,97,95,37.7396295,-122.4224695,40.4,36.7,2.5,0,15.5,0.6,0,4.3,27.55139,11.20048,0.153460542,0.193119151,91.05762846,14.80044931
109,6075025402,0.554633472,0.067517635,0.887338501,0.074473549,0.001881468,66,90,6,97,95,37.7368829,-122.412786,16,48.1,2.3,0,29.6,3.7,0,0.4,29.05354,11.10269,0.153491114,0.193168999,91.26163652,12.10411822
110,6075025403,0.344051447,0.097582226,0.84034188,0.090909091,0.079972184,52,61,8,96,94,37.7337691,-122.4205619,42.9,23.5,7.8,1.1,20.7,0,0.2,3.8,28.39431,11.54851,0.153479643,0.193136684,91.18147576,10.87703215
111,6075025500,0.356363636,0.080472921,0.896106785,0.081323981,0.025485961,59,76,7,96,94,37.7280611,-122.4372627,32.2,25.9,0.7,0.6,38.4,0,0.3,1.9,28.90728,11.9215,0.153452608,0.193065868,90.89184578,7.259321402
