USPS	GEOID	POP10	HU10	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                  
CA	06065045214	5648	2800	5580856	0	       2.155	       0.000	 33.7366154	-116.2852631                                                                                                                   
CA	06065045215	8515	3512	5604104	390368	       2.164	       0.151	 33.7193260	-116.2834051                                                                                                              
CA	06065045216	1804	1197	3728109	0	       1.439	       0.000	 33.7486002	-116.2433518                                                                                                                   
CA	06065045217	6225	1818	2900620	0	       1.120	       0.000	 33.7289861	-116.2476921                                                                                                                   
CA	06065045222	1595	1355	7873875	0	       3.040	       0.000	 33.7259740	-116.1809844                                                                                                                   
CA	06065045224	5471	2312	4912227	0	       1.897	       0.000	 33.6963551	-116.2578740                                                                                                                   
CA	06065045226	6810	1595	2668094	0	       1.030	       0.000	 33.6929288	-116.2077698                                                                                                                   
CA	06065045228	3936	1364	107416087	0	      41.474	       0.000	 33.8022017	-116.2439847                                                                                                                 
CA	06065045233	4244	1959	3674720	0	       1.419	       0.000	 33.7491920	-116.2891980                                                                                                                   
CA	06065045302	4459	1094	1663314	0	       0.642	       0.000	 33.7343347	-116.2251547                                                                                                                   
CA	06065045303	3035	807	3231152	0	       1.248	       0.000	 33.7247482	-116.2114685                                                                                                                    
CA	06065045304	8675	2839	6529306	0	       2.521	       0.000	 33.7444899	-116.2164629                                                                                                                   
CA	06065045501	5518	1525	2290817	0	       0.884	       0.000	 33.7070064	-116.2261101                                                                                                                   
CA	06065045502	3744	1253	1595277	0	       0.616	       0.000	 33.7209537	-116.2278745                                                                                                                   
CA	06065045604	13694	3337	261005755	161992722	     100.775	      62.546	 33.5119640	-115.9293426                                                                                                        
CA	06065045605	10543	3422	179190329	13614502	      69.186	       5.257	 33.5349272	-116.1437183                                                                                                         
CA	06065045606	2680	1678	20582062	0	       7.947	       0.000	 33.6710400	-116.2337821                                                                                                                  
CA	06065045608	2878	4123	17550368	407859	       6.776	       0.157	 33.6381933	-116.2526918                                                                                                             
CA	06065045609	5880	1635	91056030	0	      35.157	       0.000	 33.6448000	-116.1520684                                                                                                                  
CA	06065045703	5708	1291	3090450	0	       1.193	       0.000	 33.6628977	-116.1700827                                                                                                                   
CA	06065045704	2804	712	714733	0	       0.276	       0.000	 33.6712436	-116.1823835                                                                                                                     
CA	06065045705	7522	1970	3479241	0	       1.343	       0.000	 33.6669317	-116.1910765                                                                                                                   
CA	06065045706	4821	1052	2774508	0	       1.071	       0.000	 33.6774083	-116.1657250                                                                                                                   
CA	06065045707	6397	1575	2068588	0	       0.799	       0.000	 33.6810687	-116.1857289                                                                                                                   
CA	06065045900	1838	788	273579602	298988	     105.630	       0.115	 33.5281628	-114.6691382                                                                                                             
CA	06065046101	3060	1277	1937844	0	       0.748	       0.000	 33.6142234	-114.5838963                                                                                                                   
CA	06065046102	2027	743	1958376	0	       0.756	       0.000	 33.6137829	-114.6099890                                                                                                                    
CA	06065046103	3030	1091	7849131	0	       3.031	       0.000	 33.6249027	-114.5972328                                                                                                                   
CA	06065046200	3341	1251	11752768	0	       4.538	       0.000	 33.5994708	-114.5966887                                                                                                                  
CA	06065046401	3768	1361	202253560	0	      78.091	       0.000	 33.5708213	-117.4050045                                                                                                                 
CA	06065046402	4684	1766	2475928	6211814	       0.956	       2.398	 33.6478677	-117.3580690                                                                                                             
CA	06065046403	7156	2322	7378915	153164	       2.849	       0.059	 33.6272595	-117.3077800                                                                                                              
CA	06065046404	5590	1892	10645115	0	       4.110	       0.000	 33.6510929	-117.2771726                                                                                                                  
CA	06065046405	3974	1280	4202382	0	       1.623	       0.000	 33.6205579	-117.2726286                                                                                                                   
CA	06065046500	9277	2118	4689995	14300	       1.811	       0.006	 33.9709379	-117.3333516                                                                                                               
CA	06065046601	4888	228	2446165	190421	       0.944	       0.074	 33.9219056	-117.5681132                                                                                                               
CA	06065046602	3712	1111	4787592	0	       1.848	       0.000	 33.9125970	-117.5749825                                                                                                                   
CA	06065046700	4442	1648	33206029	444	      12.821	       0.000	 33.8891026	-117.2783680                                                                                                                
CA	06065046800	6365	1546	1961724	0	       0.757	       0.000	 33.9283078	-117.2132757                                                                                                                   
CA	06065046900	2043	1161	9860556184	266083	    3807.182	       0.103	 33.7785595	-115.3687419                                                                                                           
CA	06065047000	1749	990	134979726	4213325	      52.116	       1.627	 33.6218613	-114.5601089                                                                                                            
CA	06065047201	1958	1890	2630638	0	       1.016	       0.000	 33.9177524	-116.4319170                                                                                                                   
CA	06065047202	1929	1505	41441692	0	      16.001	       0.000	 33.9067325	-116.3491585                                                                                                                  
CA	06065047900	11611	3313	8023791	1961	       3.098	       0.001	 33.8282363	-117.5567013                                                                                                               
CA	06065048100	6404	1928	66053974	0	      25.504	       0.000	 33.8156600	-117.5884128                                                                                                                  
CA	06065048200	4301	1245	1872618	0	       0.723	       0.000	 33.8889347	-117.5407373                                                                                                                   
CA	06065048300	6649	1856	1916880	67103	       0.740	       0.026	 33.8784360	-117.2114532                                                                                                               
CA	06065048700	4489	1277	5888393	0	       2.274	       0.000	 33.9088488	-117.1909760                                                                                                                   
CA	06065048800	4512	1138	4276913	156036	       1.651	       0.060	 33.8707760	-117.2223830                                                                                                              
CA	06065048901	3805	1026	941885	0	       0.364	       0.000	 33.9009860	-117.2130878                                                                                                                    
CA	06065048902	5957	1560	1659766	0	       0.641	       0.000	 33.8974314	-117.2217753                                                                                                                   
CA	06065049000	8249	2415	11298092	0	       4.362	       0.000	 33.8800511	-117.1908956                                                                                                                  
CA	06065049100	5264	3657	4612980	0	       1.781	       0.000	 33.6927812	-116.2317070                                                                                                                   
CA	06065049400	2978	1623	9215472	0	       3.558	       0.000	 33.7597156	-116.2675281                                                                                                                   
CA	06065049500	8421	2245	3524583	0	       1.361	       0.000	 33.7098989	-116.2106697                                                                                                                   
CA	06065049600	7176	2651	3847325	0	       1.485	       0.000	 33.5357701	-117.1579375                                                                                                                   
CA	06065049700	9511	2870	81982560	93978	      31.654	       0.036	 33.5246081	-117.2443765                                                                                                              
CA	06065049800	3771	1554	9301278	0	       3.591	       0.000	 33.5462108	-117.1978854                                                                                                                   
CA	06065050300	11161	3175	12024976	0	       4.643	       0.000	 33.5863863	-117.1520055                                                                                                                 
CA	06065050400	10378	3303	4090853	0	       1.579	       0.000	 33.5863126	-117.1879550                                                                                                                  
CA	06065050500	13261	4158	5055916	0	       1.952	       0.000	 33.5490166	-117.1625546                                                                                                                  
CA	06065050600	6850	2422	6072807	0	       2.345	       0.000	 33.5730829	-117.2284737                                                                                                                   
CA	06065050700	9969	3057	17121843	0	       6.611	       0.000	 33.6184112	-117.1520330                                                                                                                  
CA	06065050900	4340	1885	5682568	0	       2.194	       0.000	 33.9384446	-117.3011639                                                                                                                   
CA	06065051100	6188	1876	2210113	0	       0.853	       0.000	 33.8965004	-117.2043216                                                                                                                   
CA	06065051200	3403	1350	63836616	3583	      24.647	       0.001	 33.4881171	-117.2137708                                                                                                               
CA	06065051300	8371	3345	33731333	438589	      13.024	       0.169	 33.8238592	-116.9542225                                                                                                             
CA	06065051400	6956	5057	7577640	2271	       2.926	       0.001	 33.7787664	-116.2955164                                                                                                                
CA	06065940100	166	1321	71024224	5060936	      27.423	       1.954	 34.0001828	-114.4753345                                                                                                             
CA	06065940400	6504	1444	11515310	0	       4.446	       0.000	 33.7018202	-116.1821780                                                                                                                  
CA	06065940500	2208	2229	140928732	1156	      54.413	       0.000	 33.7649103	-116.5735745                                                                                                              
CA	06065940600	3026	2717	28659928	0	      11.066	       0.000	 33.8257930	-116.4318477                                                                                                                  
CA	06065940700	2613	2497	2418622	212433	       0.934	       0.082	 33.8054921	-116.5231199                                                                                                              
CA	06065940800	2613	2713	2597183	0	       1.003	       0.000	 33.7941045	-116.5369045                                                                                                                   
CA	06065940900	1916	1506	2216014	354836	       0.856	       0.137	 33.7835901	-116.4514939                                                                                                              
CA	06065941000	3812	4213	10385635	342	       4.010	       0.000	 33.7942098	-116.4861035                                                                                                                
CA	06065941100	2051	2267	2212894	375109	       0.854	       0.145	 33.7959943	-116.4701978                                                                                                              
CA	06065941200	2205	2356	13017880	0	       5.026	       0.000	 33.8376004	-116.5019562                                                                                                                  
CA	06065941300	3300	2436	2621208	0	       1.012	       0.000	 33.8522106	-116.5368326                                                                                                                   
CA	06065941400	3179	2896	2568728	0	       0.992	       0.000	 33.8231245	-116.5369013                                                                                                                   
CA	06065941500	4291	1506	39399284	822791	      15.212	       0.318	 33.7741421	-116.8806640                                                                                                             
CA	06065980004	9	4	5735172	0	       2.214	       0.000	 33.9361587	-117.3162137                                                                                                                         
CA	06065981000	7634	0	6682108	0	       2.580	       0.000	 33.5603344	-114.9176889                                                                                                                      
CA	06067000100	3558	1732	1942577	364850	       0.750	       0.141	 38.5777705	-121.4326320                                                                                                              
CA	06067000200	3497	1800	1511258	0	       0.584	       0.000	 38.5740594	-121.4407580                                                                                                                   
CA	06067000300	3103	1584	1427329	2502	       0.551	       0.001	 38.5773838	-121.4547432                                                                                                                
CA	06067000400	3667	2351	975601	0	       0.377	       0.000	 38.5800964	-121.4693603                                                                                                                    
CA	06067000500	3159	2023	866055	0	       0.334	       0.000	 38.5834331	-121.4823108                                                                                                                    
CA	06067000600	1122	733	406307	0	       0.157	       0.000	 38.5854811	-121.4916773                                                                                                                     
CA	06067000700	2806	709	471399	42394	       0.182	       0.016	 38.5818714	-121.5016595                                                                                                                 
CA	06067000800	1425	1227	523387	51938	       0.202	       0.020	 38.5770653	-121.5044795                                                                                                                
CA	06067001101	2047	2096	1569667	0	       0.606	       0.000	 38.5772072	-121.4904629                                                                                                                   
CA	06067001200	3323	2714	676073	0	       0.261	       0.000	 38.5716422	-121.4870807                                                                                                                    
CA	06067001300	3005	2230	792610	0	       0.306	       0.000	 38.5684782	-121.4745179                                                                                                                    
CA	06067001400	2466	1882	794017	0	       0.307	       0.000	 38.5739840	-121.4721306                                                                                                                    
CA	06067001500	4329	2461	1746201	0	       0.674	       0.000	 38.5674597	-121.4593774                                                                                                                   
CA	06067001600	5421	2789	3048885	0	       1.177	       0.000	 38.5616628	-121.4396846                                                                                                                   
CA	06067001700	4794	2668	3525650	0	       1.361	       0.000	 38.5519098	-121.4417291                                                                                                                   
CA	06067001800	4686	2259	1717606	0	       0.663	       0.000	 38.5542221	-121.4637479                                                                                                                   
CA	06067001900	2771	1811	1105357	0	       0.427	       0.000	 38.5618891	-121.4773744                                                                                                                   
CA	06067002000	2376	1468	1033083	0	       0.399	       0.000	 38.5652846	-121.4903061                                                                                                                   
CA	06067002100	2377	1175	1453597	89472	       0.561	       0.035	 38.5693327	-121.5063658                                                                                                               
CA	06067002200	4004	1808	2442979	287416	       0.943	       0.111	 38.5612821	-121.5071562                                                                                                              
CA	06067002300	3156	1690	1213096	0	       0.468	       0.000	 38.5571708	-121.4938311                                                                                                                   
CA	06067002400	4387	2136	3224722	0	       1.245	       0.000	 38.5448312	-121.4973382                                                                                                                   
CA	06067002500	1587	740	984311	0	       0.380	       0.000	 38.5455452	-121.4812453                                                                                                                     
CA	06067002600	2505	1295	937495	0	       0.362	       0.000	 38.5543039	-121.4817038                                                                                                                    
CA	06067002700	3383	1594	1288106	0	       0.497	       0.000	 38.5476100	-121.4711099                                                                                                                   
CA	06067002800	3291	1176	924552	0	       0.357	       0.000	 38.5429371	-121.4582463                                                                                                                    
CA	06067002900	4499	2304	2317596	0	       0.895	       0.000	 38.5428857	-121.4347594                                                                                                                   
CA	06067003000	6563	2825	2581783	0	       0.997	       0.000	 38.5358637	-121.4295972                                                                                                                   
CA	06067003101	3568	1250	1256990	0	       0.485	       0.000	 38.5285812	-121.4185883                                                                                                                   
CA	06067003102	2933	1048	1147188	0	       0.443	       0.000	 38.5287219	-121.4359084                                                                                                                   
CA	06067003202	5052	1801	1653963	0	       0.639	       0.000	 38.5184590	-121.4335116                                                                                                                   
CA	06067003203	3200	787	985426	0	       0.380	       0.000	 38.5133060	-121.4182262                                                                                                                     
CA	06067003204	5456	1554	1599411	0	       0.618	       0.000	 38.5205734	-121.4183310                                                                                                                   
CA	06067003300	4073	1959	2377879	0	       0.918	       0.000	 38.5289945	-121.5039421                                                                                                                   
CA	06067003400	4085	1924	2248126	34205	       0.868	       0.013	 38.5121908	-121.5088949                                                                                                               
CA	06067003501	2629	1265	1197868	0	       0.462	       0.000	 38.5331684	-121.4883176                                                                                                                   
CA	06067003502	2916	1335	1260334	0	       0.487	       0.000	 38.5245176	-121.4885738                                                                                                                   
CA	06067003600	2826	1023	1269305	0	       0.490	       0.000	 38.5327553	-121.4778780                                                                                                                   
CA	06067003700	4219	1390	1427629	0	       0.551	       0.000	 38.5336237	-121.4693182                                                                                                                   
CA	06067003800	5083	1808	4898249	0	       1.891	       0.000	 38.5073142	-121.4931707                                                                                                                   
CA	06067003900	3374	1697	2185094	232905	       0.844	       0.090	 38.5303294	-121.5186401                                                                                                              
CA	06067004001	5755	2825	3335033	79391	       1.288	       0.031	 38.4996777	-121.5116580                                                                                                               
CA	06067004004	6086	2724	2804236	203386	       1.083	       0.079	 38.5037812	-121.5503432                                                                                                              
CA	06067004005	4185	2043	1856714	320189	       0.717	       0.124	 38.5100755	-121.5350905                                                                                                              
