tractid,latitude,longitude,zip code,pct_bachelors,labor_part_rate,pct_welfare,low_pov_idx,labor_idx,env_health_idx,hispanic,white,black,american_indian,asian,pac_islander,other_races,two_races,housing_cost,transportation_cost,pub_school_score,pr_school_score,rest_score,rest_proximity,crime_index
6075011100,37.7907445,-122.419076,94109,51.5428289,82.4303163,1.1305616,56,86,6,6.9,45.7,2.4,0.4,40.5,0.0,0.5,3.7,35.43498,7.73256,94.1465014321,59.4026200816,90.41888531,75.70260793,55.86195461
6075011200,37.7929713,-122.4127333,94118,56.2169778,82.9935125,0.0,35,89,7,4.7,52.8,0.4,0.0,39.0,0.0,0.0,3.1,38.2131,8.41709,93.7928219785,49.5363002037,90.56343522,91.60463567,57.29905157
6075011300,37.7946971,-122.4093492,94115,15.8972579,83.3136095,3.3728919,12,17,6,0.6,7.9,1.1,0.2,89.9,0.0,0.0,0.4,29.00188,7.12183,91.7342694411,42.5950684349,90.64287151,93.91384052,48.30792549
6075011700,37.7904674,-122.4034859,94115,33.8511856,65.0047939,7.6004343,12,38,3,5.8,30.4,14.3,0.0,41.5,0.0,0.0,8.0,23.93053,9.29543,53.0893648353,26.47027576,90.82938751,100.0,56.50465318
6075011800,37.7933506,-122.4061645,94108,11.2737921,81.6598361,1.4556041,9,19,3,1.8,2.4,0.0,0.0,95.8,0.0,0.0,0.0,21.83982,7.36459,76.2676777637,35.5830071872,90.73609135,98.12957955,51.30332684
6075011901,37.7904728,-122.4139142,94109,58.0720093,86.9402985,0.9776536,80,89,13,9.9,53.4,1.1,0.0,30.0,0.0,0.7,4.9,32.01671,7.15056,89.3072949437,53.5978793729,90.54571634,91.33539136,70.66192827
6075011902,37.7909959,-122.4098067,94108,51.7165493,84.4422701,0.6060606,54,94,12,19.1,49.7,2.3,0.0,25.1,1.2,0.8,1.8,29.75895,7.27926,81.0519275022,46.44552801,90.65033728,98.71505024,69.24547505
6075012000,37.7879651,-122.4185205,94109,44.6748682,77.6416539,3.4510759,26,56,5,10.6,48.6,3.3,0.0,32.0,0.0,1.7,3.8,31.38547,6.30507,92.537116431,63.181284747,90.44560994,78.05603912,69.72329472
6075012100,37.7888066,-122.4118881,94115,53.4989648,80.0687285,0.0,48,68,6,9.6,54.4,1.8,0.7,30.1,0.4,0.0,3.0,33.93631,6.78081,78.4737630202,51.310375804,90.60715732,96.14583521,82.29758725
6075012201,37.7858464,-122.4163535,94164,28.554607,80.9403597,5.6464812,13,47,10,32.0,30.2,5.4,0.0,30.5,0.0,0.0,1.9,26.58603,6.46607,83.0050431794,61.486014313,90.50996163,83.56498218,85.55739245
6075012202,37.7854142,-122.4196438,94109,29.9835255,72.5391499,1.5111695,18,43,14,16.9,33.1,8.8,0.0,37.1,0.0,0.0,4.1,27.20806,6.30864,90.9716310631,68.6201592061,90.43376986,72.74445242,72.03861614
6075012301,37.7859203,-122.4107461,94109,26.8672757,67.4894217,4.5614035,9,44,13,22.9,21.5,14.6,0.3,36.8,0.0,0.0,4.0,16.24188,6.64725,63.8975061989,47.7176357022,90.65496443,96.41254323,95.04218379
6075012302,37.7870223,-122.412097,94109,46.4640561,71.375694,8.821788,38,26,12,7.6,47.3,14.1,4.9,23.6,0.0,0.0,2.4,27.20806,6.55538,72.3910732478,51.8088832962,90.61201041,95.06052781,90.92086551
6075012401,37.7830511,-122.415789,94102,12.5432254,73.4154292,3.8237739,30,37,11,43.3,22.3,4.4,0.1,26.0,0.4,0.0,3.3,20.539,6.33387,72.5649856131,61.3649311753,90.54187739,81.321694,91.80059878
6075012402,37.780125,-122.4177669,94102,35.0020517,63.3009709,6.0524906,15,22,14,14.2,44.8,7.8,0.0,26.1,0.3,1.0,5.8,22.34899,7.28465,69.7576719857,67.7991995387,90.51454507,70.136567,80.36945092
6075012501,37.783016,-122.4109765,94102,21.4079422,50.3696402,12.2470161,4,1,10,16.4,33.8,15.7,1.7,29.2,0.6,0.0,2.6,19.39721,6.51308,56.0855233723,46.0814011888,90.66797882,91.48323207,100.0
6075012502,37.783933,-122.4125954,94133,17.6954733,48.5078994,12.5283704,4,2,14,6.9,25.4,15.5,0.0,48.5,1.2,0.0,2.4,15.85067,5.53193,63.741553422,52.1530967976,90.61829618,90.3713915,99.00300822
6075012601,37.8022695,-122.4391478,94123,86.4738806,87.8113408,1.2676056,88,99,15,5.4,84.1,0.0,1.3,6.4,0.0,0.0,2.9,35.37972,9.1541,36.7242355279,41.9814639529,90.05144938,13.68379205,7.709605491
6075012602,37.806476,-122.4356807,94123,82.8699552,88.5068762,0.852459,74,99,12,4.5,85.5,0.0,0.0,7.2,0.0,0.0,2.9,34.17123,10.45066,26.636915581,19.6156132282,90.09517057,12.73884985,5.912067761
6075012700,37.8049898,-122.4447181,94123,76.9204507,93.0019881,1.3267813,62,99,4,5.9,81.9,0.0,0.0,11.4,0.0,0.0,0.7,36.26586,9.7143,18.2896903819,17.1341958644,90.00541211,8.200101082,4.028552692
