,zipcode,pct_bachelors,labor_part_rate,pct_welfare,low_pov_idx,labor_idx,env_health_idx,hispanic,white,black,american_indian,asian,pac_islander,other_races,two_races,housing_cost,transportation_cost,pub_school_score,pr_school_score,rest_score,rest_proximity,crime_index,scores,score
11,94116,50.6564178625,83.1439589625,2.0651810375,75.875,78.5,22.875,6.875,38.45,0.775,0.15,50.25,0.6875,0.3625,2.475,30.51214625,12.186105,27.2719858114,23.3092683279,89.1656350775,6.413232383,3.62675173712,9.09050461931,0.56006077226
12,94117,67.8538424375,86.2222457875,1.8913694875,64.25,93.25,14.0,10.7875,64.75,9.9625,0.1125,9.1125,0.2125,0.7875,4.2625,35.061255,9.38395375,58.0621991633,45.8336521726,90.1212462388,22.1287750325,19.7316145975,8.2148479639,0.156082980129
13,94118,63.6149400077,84.5246916923,1.53011059231,66.2307692308,89.4615384615,13.3846153846,5.96153846154,54.1076923077,2.37692307692,0.161538461538,33.2076923077,0.353846153846,0.323076923077,3.52307692308,34.6365869231,9.97443384615,49.9407600103,47.3484891852,89.7582481269,23.0500156392,13.5198272289,7.76882315621,-0.481977858518
14,94121,57.43521258,83.88633925,1.50661874,74.5,86.7,23.5,9.06,42.39,2.38,0.08,40.84,0.42,0.68,4.17,29.861465,11.686305,23.8184980957,29.6348355586,89.245678649,5.9636091515,3.1487602029,8.44189518788,-0.0179434248789
15,94122,52.7170668636,83.4689854727,1.16781054545,74.3636363636,79.2727272727,23.7272727273,4.26363636364,39.1909090909,0.836363636364,0.209090909091,51.3727272727,0.345454545455,0.363636363636,3.38181818182,30.0513018182,11.3766645455,30.8949170629,22.1468945155,89.0320624436,7.34301554373,4.08794036791,8.80324759131,0.291647527156
16,94123,78.3061263125,91.4761696,0.84812155,76.5,99.0,8.25,5.9625,79.575,0.7125,0.3,10.8375,0.6375,0.1375,1.85,34.9063,9.39628625,47.4179994922,50.186263509,90.113715935,21.0149533077,11.8744072088,7.46388040446,-0.333255335534
17,94124,24.0623635,80.53010697,4.39615525,48.3,36.3,6.1,22.95,11.92,33.2,0.12,28.97,0.69,0.08,2.07,27.05404,12.185889,35.3146143106,13.4413539886,91.752561846,4.079058112,10.5277584927,8.42860754651,-0.571851978359
18,94127,65.76632945,83.61194805,0.462962975,91.0,93.0,18.0,8.275,56.45,1.05,0.025,30.725,0.1,0.525,2.8,34.61013,13.3001025,29.2837232471,29.4254190669,89.8083359125,5.13457137925,3.70941558425,8.24345714587,0.0403803702874
19,94129,85.272045,90.039491,8.4158416,86.0,99.0,14.0,2.5,77.9,4.3,1.8,7.2,0.0,0.3,6.1,23.81872,12.33065,1.97595826,2.61955117096,89.59475765,2.750763031,0.266688625,9.08615868614,1.25114149985
20,94131,68.9706382222,85.9530286889,1.33090663333,70.8888888889,92.8888888889,13.6666666667,11.7444444444,66.9333333333,3.73333333333,0.155555555556,13.5333333333,0.166666666667,0.144444444444,3.56666666667,31.9156077778,11.2330411111,50.3168700521,29.4374849065,90.5631032911,13.391291118,8.15606811267,7.37936126673,-0.639637724522
21,94132,48.8414036143,79.9844159429,2.04241574286,63.4285714286,67.8571428571,26.0,12.3142857143,35.2,9.51428571429,0.0571428571429,38.1857142857,0.385714285714,0.7,3.62857142857,26.5632671429,11.7455657143,13.3709391918,22.0190235334,90.35601613,3.54610907371,3.89161121143,8.89250431789,0.307819341584
22,94133,44.3682705778,79.3164100444,3.17862063333,35.1111111111,58.2222222222,7.33333333333,5.21111111111,39.4,4.45555555556,0.0777777777778,48.7111111111,0.288888888889,0.188888888889,1.62222222222,30.1270488889,7.77265444444,68.7377714773,29.4082895648,90.57989025,70.5357432522,33.2942180233,9.48702515024,0.979892031441
23,94134,17.5586665727,81.1991241455,5.65999123636,52.9090909091,36.6363636364,9.90909090909,18.5181818182,10.9363636364,10.1454545455,0.6,56.7272727273,0.418181818182,0.4,2.25454545455,27.5357609091,12.0522536364,40.1058609687,19.6706309981,91.4107016918,4.45550190218,7.10450739573,8.81229915527,-0.205672242674
24,94158,76.8368838,88.59284825,1.75384285,91.0,97.0,3.5,8.15,51.85,4.7,1.65,31.05,0.0,0.6,2.0,30.395945,10.69694,10.1826555456,2.74587403107,91.58510858,20.225692556,6.568616827,7.4975384093,-0.792039414476
